category,latitude,longitude,description1,description2,value,count,city
北北基地區,25.0661064,121.481374,自有：0%，收購：100%,84.66瓩,83233,7046966,臺北市、新北市、基隆市
桃竹苗地區,24.55,121,自有：1%，收購：99%,5.83瓩,628732,3665696,桃園市、新竹市、新竹縣、苗栗縣
中彰投地區,23.93,120.65,自有：10%，收購：90%,4.08瓩,1114533,4550204,臺中市、南投縣、彰化縣
雲嘉南地區,23.33360908,120.2444726,自有：8%，收購：92%,1.66瓩,2026749,3370086,嘉義市、嘉義縣、臺南市
高屏地區,22.6093283,120.3536056,自有：1%，收購：99%,3.03瓩,1191980,3616696,高雄市、屏東縣
宜花東地區,23.33054,121.29746,自有：1%，收購：99%,7.62瓩,132596,1010684,花蓮縣、臺東縣、宜蘭縣
離島地區,24.4322,118.3741,自有：5%，收購：95%,9.89瓩,25065,248050,金門縣、連江縣、澎湖縣
